CSCI	6221	SW Paradigms	3	None	None
CSCI 	6461	Computer Architecture	3	None	None
CSCI 	6212	Algorithms	3	None	None
CSCI	6220	Machine Learning	3	None	None
CSCI	6232	Networks 1	3	None	None
CSCI 	6233	Networks 2	3	CSCI 6232	None
CSCI	6241	Database 1	3	None	None
CSCI 	6242	Database 2	3	CSCI 6241	None
CSCI	6246	Compilers	3	CSCI 6461	CSCI 6212
CSCI	6260	Multimedia	3	None	None
CSCI	6251	Cloud Computing	3	CSCI 6461	None
CSCI	6262	Graphics 1	3	None	None
CSCI	6283	Security 1	3	CSCI 6212	None
CSCI	6284	Cryptography	3	CSCI 6212	None
CSCI 	6286	Network Security	3	CSCI 6283	CSCI 6232
CSCI	6325	Algorithms 2	3	CSCI 6212	None
CSCI	6339	Embedded Systems	3	CSCI 6461	CSCI 6212
CSCI	6384	Cryptography 2	3	CSCI 6284	None
ECE	6241	Communication Theory	3	None	None
ECE	6242	Information Theory	2	None	None
MATH	6210	Logic	2	None	None
